time_signature,speechiness,danceability,duration_ms,energy,track_href,mode,uri,type,track_album_release_date,analysis_url,id,instrumentalness,valence,key,tempo,loudness,acousticness,liveness,Popularity_Type
4.0,0.0293,0.529,252000.0,0.423,https://api.spotify.com/v1/tracks/5NykvdFrH8mejmohWZvIWo,1.0,spotify:track:5NykvdFrH8mejmohWZvIWo,audio_features,2024-06-07,https://api.spotify.com/v1/audio-analysis/5NykvdFrH8mejmohWZvIWo,5NykvdFrH8mejmohWZvIWo,0.0,0.223,3.0,129.511,-7.368,0.838,0.154,Low
4.0,0.0868,0.679,236000.0,0.854,https://api.spotify.com/v1/tracks/3bGjIIBA2av8gLd96NtT9E,1.0,spotify:track:3bGjIIBA2av8gLd96NtT9E,audio_features,2023-04-18,https://api.spotify.com/v1/audio-analysis/3bGjIIBA2av8gLd96NtT9E,3bGjIIBA2av8gLd96NtT9E,0.86,0.629,1.0,160.044,-4.896,0.0276,0.642,Low
4.0,0.0356,0.7,218424.0,0.582,https://api.spotify.com/v1/tracks/0WbMK4wrZ1wFSty9F7FCgu,0.0,spotify:track:0WbMK4wrZ1wFSty9F7FCgu,audio_features,2024-04-05,https://api.spotify.com/v1/audio-analysis/0WbMK4wrZ1wFSty9F7FCgu,0WbMK4wrZ1wFSty9F7FCgu,0.0,0.785,11.0,116.712,-5.96,0.0502,0.0881,High
4.0,0.298,0.925,176454.0,0.511,https://api.spotify.com/v1/tracks/0h6xhnFpPWG15EU3WSvMYG,0.0,spotify:track:0h6xhnFpPWG15EU3WSvMYG,audio_features,2023-07-20,https://api.spotify.com/v1/audio-analysis/0h6xhnFpPWG15EU3WSvMYG,0h6xhnFpPWG15EU3WSvMYG,3.58e-06,0.554,9.0,102.935,-6.805,0.241,0.13,Low
4.0,0.177,0.835,223006.0,0.594,https://api.spotify.com/v1/tracks/22sKJ38aklXtEzQtnDDluQ,0.0,spotify:track:22sKJ38aklXtEzQtnDDluQ,audio_features,2023-03-24,https://api.spotify.com/v1/audio-analysis/22sKJ38aklXtEzQtnDDluQ,22sKJ38aklXtEzQtnDDluQ,0.000713,0.645,6.0,104.855,-6.426,0.248,0.0577,Low
4.0,0.0367,0.621,230192.0,0.82,https://api.spotify.com/v1/tracks/6SKwQghsR8AISlxhcwyA9R,1.0,spotify:track:6SKwQghsR8AISlxhcwyA9R,audio_features,2010-05-11,https://api.spotify.com/v1/audio-analysis/6SKwQghsR8AISlxhcwyA9R,6SKwQghsR8AISlxhcwyA9R,0.0,0.452,10.0,144.905,-4.865,0.332,0.104,High
4.0,0.0618,0.711,154435.0,0.727,https://api.spotify.com/v1/tracks/1acOxwadqwCMqSTho4Vh0B,1.0,spotify:track:1acOxwadqwCMqSTho4Vh0B,audio_features,2022-09-01,https://api.spotify.com/v1/audio-analysis/1acOxwadqwCMqSTho4Vh0B,1acOxwadqwCMqSTho4Vh0B,2.16e-06,0.419,10.0,115.005,-5.244,0.186,0.111,Low
4.0,0.025,0.66,214087.0,0.603,https://api.spotify.com/v1/tracks/2vlkTkPqdATznKHu9gD2c1,0.0,spotify:track:2vlkTkPqdATznKHu9gD2c1,audio_features,2024-07-26,https://api.spotify.com/v1/audio-analysis/2vlkTkPqdATznKHu9gD2c1,2vlkTkPqdATznKHu9gD2c1,0.0144,0.527,3.0,102.99,-7.7,0.00566,0.0751,High
4.0,0.223,0.647,225040.0,0.674,https://api.spotify.com/v1/tracks/6tU65PBnpDOOpTeMwHKD4l,0.0,spotify:track:6tU65PBnpDOOpTeMwHKD4l,audio_features,2007-08-28,https://api.spotify.com/v1/audio-analysis/6tU65PBnpDOOpTeMwHKD4l,6tU65PBnpDOOpTeMwHKD4l,0.0,0.327,4.0,96.69,-5.037,0.549,0.351,Low
4.0,0.0308,0.504,228965.0,0.386,https://api.spotify.com/v1/tracks/2OzhQlSqBEmt7hmkYxfT6m,1.0,spotify:track:2OzhQlSqBEmt7hmkYxfT6m,audio_features,2024-04-18,https://api.spotify.com/v1/audio-analysis/2OzhQlSqBEmt7hmkYxfT6m,2OzhQlSqBEmt7hmkYxfT6m,1.53e-05,0.281,11.0,192.004,-10.976,0.502,0.0961,High
4.0,0.0607,0.715,89250.0,0.395,https://api.spotify.com/v1/tracks/38QAKMfUQMUVOkVsDJ1tlh,1.0,spotify:track:38QAKMfUQMUVOkVsDJ1tlh,audio_features,2022-12-16,https://api.spotify.com/v1/audio-analysis/38QAKMfUQMUVOkVsDJ1tlh,38QAKMfUQMUVOkVsDJ1tlh,0.928,0.204,2.0,80.028,-13.155,0.851,0.123,Low
